"doc_id","text","album","year","songwriters","vocals","songwriter_Harrison","songwriter_Lennon","songwriter_McCartney","songwriter_Starr","vocals_Harrison","vocals_Lennon","vocals_McCartney","vocals_Starr","negative","positive","<NA>","sentiment"
"Get Back","Jojo was a man who thought he was a loner But he knew it couldn't last. Jojo left his home in Tucson, Arizona For some California grass. Get back, get back. Get back to where you once belonged Get back, get back. Get back to where you once belonged. Get back Jojo, go home Get back, get back. Get back to where you once belonged Get back, get back. Back to where you once belonged. Get back Jo. Sweet Loretta Martin thought she was a woman But she was another man All the girls around her say she's got it coming But she gets it while she can Get back, get back. Get back to where you once belonged Get back, get back. Get back to where you once belonged. Get back Loretta Your mother's waiting for you Wearing her high-heel shoes And her low-neck sweater Get back Loretta, Get back, get back to where you once belonged Get back, get back. Get back to where you once belonged. Get back, get back. Get back to where you once belonged. Get back, get back. Get back to where you once belonged. [thanks, Mo!... On behalf of the group I hope we passed the audition.]","Let It Be","1969","McCartney","McCartney",0,0,1,0,0,0,1,0,1,1,117,0
"Getting Better","It's getting better all the time I used to get mad in my school (No, I can't complain) The teachers that taught me weren't cool (No, I can't complain) Holding me down, turning me round, Filling me up with your rules I've got to admit it's getting better, A little better all the time (can't get no worse) To admit it's getting better, It's getting better since you've been mine. Me used to be angry young man Me hiding me head in the sand You gave me the word I finally heard I'm doing the best that I can. To admit it's getting better, A little better all the time To admit it's getting better, It's getting better since you've been mine. Getting so much better all the time It's getting better all the time Better, better, better, It's getting better all the time. Better, better, better I used to be cruel to my woman I beat her and kept her apart from the things that she loved Man I was mean but I'm changing my scene And I'm doing the best that I can. I admit it's getting better, A little better all the time (can't get no worse) Yes, I admit it's getting better, It's getting better since you've been mine. Getting so much better all the time It's getting better all the time Better, better, better, It's getting better all the time. Better, better, better, Getting so much better all the time.","Sgt. Pepper's Lonely Hearts Club Band","1967","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,7,36,82,29
"Girl","Is there anybody gone to listen to my story All about the girl who came to stay? She's the kind of girl you want so much It makes you sorry, Still, you don't regret a single day. Ah girl, girl She's the kind of girl who puts you down When friends are there, you feel a fool. When you say she's looking good She acts as if it's understood. She's cool Girl, girl When I think of all the times I've tried to leave her She will turn to me and start to cry. And she promises the earth to me And I believe her, After all this time I don't know why. Ah, girl, girl She's the kind of girl who puts you down when friends are there, You feel a fool. When you say she's looking good, she acts as if it's understood. She's cool, Girl, girl Was she told when she was young the fame Would lead to pleasure? Did she understand it when they said That a man must break his back to earn His day of leisure? Will she still believe it when he's dead? Ah girl, girl, girl.","Rubber Soul","1965","Lennon","Lennon",0,1,0,0,0,1,0,0,7,8,68,1
"Glass Onion","I told you about strawberry fields You know the place where nothing is real Well here's another place you can go Where everything flows Looking through the bent backed tulips To see how the other half live Looking through a glass onion I told you about the walrus and me, man You know that we're as close as can be, man Well here's another clue for you all The walrus was Paul Standing on the cast iron shore, yeah Lady Madonna trying to make ends meet, yeah Looking through a glass onion Oh yeah Oh yeah Oh yeah Looking through a glass onion I told you about the fool on the hill I tell you man he living there still Well here's another place you can be Listen to me Fixing a hole in the ocean Trying to make a dove-tail joint, yeah Looking through a glass onion","The Beatles","1968","Lennon","Lennon",0,1,0,0,0,1,0,0,2,3,74,1
"Golden Slumbers","Once there was a way to get back homeward Once there was a way to get back home Sleep pretty darling do not cry And I will sing a lullaby Golden slumbers fill your eyes Smiles awake you when you rise Sleep pretty darling do not cry And I will sing a lullaby Once there was a way to get back homeward Once there was a way to get back home Sleep pretty darling do not cry And I will sing a lullaby","Abbey Road","1969","McCartney","McCartney",0,0,1,0,0,0,1,0,3,8,33,5
"Good Day Sunshine","Good day sunshine, good day sunshine. Good day sunshine. I need to laugh and when the sun is out I've got something I can blab about. I feel good in a special way I'm in love and it's sunny day. Good day sunshine, good day sunshine. Good day sunshine. We take a walk the sun is shining down Burns my feet as they touch the ground. Good day sunshine, good day sunshine. Good day sunshine. And then we lie beneath a shady tree I love her and she loving me She feels good she knows she's looking fine I'm so proud to know that she is mine Good day sunshine, good day sunshine. Good day sunshine. Good day sunshine, good day sunshine. Good day sunshine","Revolver","1966","Lennon/McCartney","McCartney",0,1,1,0,0,0,1,0,4,22,55,18
"Good Morning Good Morning","Good morning, good morning Good morning, good morning Good morning ah  Nothing to do to save his life call his wife in Nothing to say but what a day how's your boy been Nothing to do it's up to you I've got nothing to say but it's OK  Good morning, good morning Good morning ah  Going to work don't want to go feeling low down Heading for home you start to roam then you're in town Everybody knows there's nothing doing Everything is closed it's like a ruin Everyone you see is half asleep And you're on your own you're in the street  After a while you start to smile now you feel cool Then you decide to take a walk by the old school Nothing is changed it's still the same I've got nothing to say but it's OK  Good morning, good morning Good morning ah  People running round it's five o'clock Everywhere in town is getting dark Everyone you see is full of life It's time for tea and meet the wife  Somebody needs to know the time, glad that I'm here Watching the skirts you start to flirt now you're in gear Go to a show you hope she goes I've got nothing to say but it's OK  Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good","Sgt. Pepper's Lonely Hearts Club Band","1967","Lennon","Lennon",0,1,0,0,0,1,0,0,3,46,108,43
"Good Night","Now it's time to say good night Good night, sleep tight Now the sun turns out his light Good night, sleep tight Dream sweet dreams for me (Dream sweet) Dream sweet dreams for you Close your eyes and I'll close mine Good night, sleep tight Now the moon begins to shine Good night, sleep tight Dream sweet dreams for me (Dream sweet) Dream sweet dreams for you Mmmmmm Mmmmmm Mmmmmmmmmm Close your eyes and I'll close mine Good night, sleep tight Now the sun turns out his light Good night, sleep tight Dream sweet dreams for me (Dream sweet) Dream sweet dreams for you Good night, good night, everybody Everybody everywhere Good night","The Beatles","1968","Lennon","Starr",0,1,0,0,0,0,0,1,0,20,65,20
"Got to Get You into My Life","I was alone, I took a ride I didn't know what I would find there Another road where maybe I could see another kind of mind there Ooh, then I suddenly see you Ooh, did I tell you I need you Every single day of my life You didn't run, you didn't lie You knew I wanted just to hold you And had you gone you knew in time we'd meet again For I had told you Ooh, you were meant to be near me Ooh, and I want you to hear me Say we'll be together every day Got to get you into my life What can I do, what can I be When I'm with you I want to stay there If I'm true I'll never leave And if I do I know the way there Ooh, then I suddenly see you Ooh, did I tell you I need you Every single day of my life Got to get you into my life Got to get you into my life I was alone, I took a ride I didn't know what I would find there Another road where maybe I could see another kind of mind there Then suddenly I see you Did I tell you I need you Every single day?","Revolver","1966","McCartney","McCartney",0,0,1,0,0,0,1,0,1,0,89,-1
"Happiness Is a Warm Gun","She's not a girl who misses much Do do do do do do do do, oh yeah She's well acquainted with the touch of the velvet hand Like a lizard on a window pane The man in the crowd with the multicoloured mirrors On his hobnail boots Lying with his eyes while his hands are busy Working overtime A soap impression of his wife which he ate And donated to the National Trust Down I need a fix cos I'm going down Down to the bits that I left uptown I need a fix cos I'm going down Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Happiness is a warm gun (Happiness bang, bang, shoot, shoot) Happiness is a warm gun, mama (Happiness bang, bang, shoot, shoot) When I hold you in my arms (Oo-oo oh yeah) And I feel my finger on your trigger (Oo-oo oh yeah) I know no one can do me no harm (Oo-oo oh yeah) Because happiness is a warm gun, mama (Happiness bang, bang, shoot, shoot) Happiness is a warm gun, yes it is (Happiness bang, bang, shoot, shoot) Happiness is a warm, yes it is, gun (Happiness bang, bang, shoot, shoot) Well, don't you know happiness is a warm gun, mama? (Happiness is a warm gun, yeah)","The Beatles","1968","Lennon","Lennon",0,1,0,0,0,1,0,0,3,29,104,26
"Hello, Goodbye","You say yes, I say no. You say stop and I say go go go, oh no. You say goodbye and I say hello Hello hello I don't know why you say goodbye, Isay hello Hello hello I don't know why you say goodbye, I say hello. I say high, you say low. You say why and I say I don't know, oh no. You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye I say goodbye. Why why why why why why do you say goodbye goodbye, oh no? You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say hello. You say yes, I say no, You say stop and I say go go go, oh no. You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say goodbye Hello hello I don't know why you say goodbye, I say hello hello","Magical Mystery Tour","1967","McCartney","McCartney",0,0,1,0,0,0,1,0,0,0,102,0
"Help!","Help, I need somebody, Help, not just anybody, Help, you know I need someone, help. When I was younger, so much younger than today, I never needed anybody's help in any way. But now these days are gone, I'm not so self assured, Now I find I've changed my mind and opened up the doors. Help me if you can, I'm feeling down And I do appreciate you being round. Help me, get my feet back on the ground, Won't you please, please help me. And now my life has changed in oh so many ways, My independence seems to vanish in the haze. But every now and then I feel so insecure, I know that I just need you like I've never done before. Help me if you can, I'm feeling down And I do appreciate you being round. Help me, get my feet back on the ground, Won't you please, please help me. When I was younger, so much younger than today, I never needed anybody's help in any way. But now these daya are gone, I'm not so self assured, Now I find I've changed my mind and opened up the doors. Help me if you can, I'm feeling down And I do appreciate you being round. Help me, get my feet back on the ground, Won't you please, please help me, help me, help me, oh","Help!","1965","Lennon/McCartney","Lennon",0,1,1,0,0,1,0,0,2,4,105,2
"Helter Skelter","When I get to the bottom I go back to the top of the slide Where I stop and I turn and I go for a ride Till I get to the bottom and I see you again Yeah yeah yeah hey Do you, don't you want me to love you I'm coming down fast but I'm miles above you Tell me tell me tell me come on tell me the answer Well you may be a lover but you ain't no dancer Now helter skelter helter skelter Helter skelter yeah Ooh! Will you, won't you want me to make you I'm coming down fast but don't let me break you Tell me tell me tell me the answer You may be a lover but you ain't no dancer Look out helter skelter helter skelter Helter skelter ooh Look out, cos here she comes When I get to the bottom I go back to the top of the slide And I stop and I turn and I go for a ride And I get to the bottom and I see you again Yeah yeah yeah Well do you, don't you want me to make you I'm coming down fast but don't let me break you Tell me tell me tell me the answer You may be a lover but you ain't no dancer Look out helter skelter helter skelter Helter skelter Look out helter skelter She's coming down fast Yes she is Yes she is coming down fast [My head is spinning, ooh... Ha ha ha, ha ha ha, alrgiht! I got blisters on my fingers!]","The Beatles","1968","McCartney","McCartney",0,0,1,0,0,0,1,0,2,13,104,11
"Her Majesty","Her Majesty's a pretty nice girl But she doesn't have a lot to say Her Majesty's a pretty nice girl But she changes from day to day  I want to tell her that I love her a lot But I gotta get a bellyful of wine Her Majesty's a pretty nice girl Someday I'm going to make her mine, oh yeah Someday I'm going to make her mine","Abbey Road","1969","McCartney","McCartney",0,0,1,0,0,0,1,0,0,7,27,7
"Here Comes the Sun","Here comes the sun, here comes the sun, And I say it's all right Little darling, it's been a long cold lonely winter Little darling, it feels like years since it's been here Here comes the sun, here comes the sun And I say it's all right Little darling, the smiles returning to their faces Little darling, it seems like years since it's been here Here comes the sun, here comes the sun And I say it's all right Sun, sun, sun, here it comes... Sun, sun, sun, here it comes... Sun, sun, sun, here it comes... Sun, sun, sun, here it comes... Sun, sun, sun, here it comes... Little darling, I feel that ice is slowly melting Little darling, it seems like years since it's been clear Here comes the sun, here comes the sun, And I say it's all right Here comes the sun, here comes the sun, It's all right, it's all right","Abbey Road","1969","Harrison","Harrison",1,0,0,0,1,0,0,0,3,17,66,14
"Here, There and Everywhere","To lead a better life I need my love to be here...  Here, making each day of the year Changing my life with the wave of her hand Nobody can deny that there's something there  There, running my hands through her hair Both of us thinking how good it can be Someone is speaking but she doesn't know he's there  I want her everywhere and if she's beside me I know I need never care But to love her is to need her everywhere Knowing that love is to share  Each one believing that love never dies Watching her eyes and hoping I'm always there  I want her everywhere and if she's beside me I know I need never care But to love her is to need her everywhere Knowing that love is to share  Each one believing that love never dies Watching her eyes and hoping I'm always there  I will be there and everywhere Here, there and everywhere","Revolver","1966","McCartney","McCartney",0,0,1,0,0,0,1,0,3,10,59,7
"Hey Bulldog","Sheepdog Standing in the rain, Bullfrog Doing it again Some think that happinness is measured out in years You don't know what it's like to listen to your fears Child-like No one understands, Jack knife In your sweaty hands, Some think that happiness is measured out in miles What makes you think you're something special when you smile You can talk to me, if you're lonely you can talk to me Big man Walking in the park Whigwam Frightened of the dark Some think that happiness is measured out in you You think you know me but you haven't got a clue You can talk to me, if you're lonely you can talk to me","Yellow Submarine","1968","Lennon","Lennon/McCartney",0,1,0,0,0,1,1,0,6,4,42,-2
"Hey Jude","Hey jude, don't make it bad. Take a sad song and make it better. Remember to let her into your heart, Then you can start to make it better. Hey jude, don't be afraid. You were made to go out and get her. The minute you let her under your skin, Then you begin to make it better. And anytime you feel the pain, hey jude, refrain, Don't carry the world upon your shoulders. For well you know that it's a fool who plays it cool By making his world a little colder. Hey jude, don't let me down. You have found her, now go and get her. Remember to let her into your heart, Then you can start to make it better. So let it out and let it in, hey jude, begin, Youre waiting for someone to perform with. And don't you know that it's just you, hey jude, you'll do, The movement you need is on your shoulder. Hey jude, don't make it bad. Take a sad song and make it better. Remember to let her under your skin, Then you'll begin to make it Better better better better better better, oh. Na na na na na ,na na na, hey jude...",NA,"1968","McCartney","McCartney",0,0,1,0,0,0,1,0,7,13,77,6
"Hold Me Tight","It feels so right now. Hold me tight, Tell me I'm the only one, And then I might, Never be the lonely one. So hold me tight, Tonight, tonight, It's you, you, you, you. Hold me tight, Let me go on loving you Tonight, tonight, Making love to only you. So hold me tight, Tonight, tonight, It's you, you, you, you, you Don't know, What it means to hold you tight, Being here alone tonight, With you, It feels so right now.","With the Beatles","1963","Lennon/McCartney","McCartney",0,1,1,0,0,0,1,0,1,4,31,3
"Honey Pie","She was a working girl North of England way Now she's hit the big time In the USA And if she could only hear me This is what I'd say Honey pie you are making me crazy I'm in love but I'm lazy So won't you please come home Oh honey pie my position is tragic Come and show me the magic Of your Hollywood song You became a legend of the silver screen And now the thought of meeting you Makes me weak in the knee Oh honey pie you are driving me frantic Sail across the Atlantic To be where you belong Honey pie come back to me, oh Yeah I like it like that, oh ah I like this kind of hot kind of music Hot kind of music Play it to me, play it to me, honey, the blues Will the wind that blew her boat Across the sea Kindly send her sailing back to me Honey pie you are making me crazy I'm in love but I'm lazy So won't you please come home Come, come back to me, honey pie Oooooooooooh oh Oh oh oh oh oh oh oh Honey pie, honey pie","The Beatles","1968","McCartney","McCartney",0,0,1,0,0,0,1,0,7,9,80,2
"I Am the Walrus","I am he as you are he as you are me and we are all together. See how they run like pigs from a gun, see how they fly. I'm crying. Sitting on a cornflake, waiting for the van to come. Corporation tee-shirt, stupid bloody tuesday. Man, you been a naughty boy, you let your face grow long. I am the eggman, they are the eggmen. I am the walrus, goo goo g'joob. Mister city policeman sitting Pretty little policemen in a row. See how they fly like Lucy in the Sky, see how they run. I'm crying, I'm crying. I'm crying, I'm crying. Yellow mother custard, dripping from a dead dog's eye. Crabalocker fishwife, pornographic priestess, Boy, you been a naughty girl you let your knickers down. I am the eggman, they are the eggmen. I am the walrus, goo goo g'joob. Sitting in an english garden waiting for the sun. If the sun don't come, you get a tan From standing in the english rain. I am the eggman, they are the eggmen. I am the walrus, goo goo g'joob goo goo g'joob. Expert textpert choking smokers, Don't you think the joker laughs at you? See how they smile like pigs in a sty, See how they snied. I'm crying. Semolina pilchard, climbing up the eiffel tower. Elementary penguin singing Hari Krishna. Man, you should have seen them kicking edgar allan poe. I am the eggman, They are the eggmen. I am the walrus, goo goo g'joob goo goo g'joob goo goo g'joob. Goo goo g'joob goo","Magical Mystery Tour","1967","Lennon","Lennon",0,1,0,0,0,1,0,0,10,5,126,-5
"I Don't Want to Spoil the Party","I don't want to spoil the party so I'll go, I would hate my disappointment to show, There's nothing for me here, So I will disappear, If she turns up while I'm gone please let me know. I've had a drink or two and I don't care, There's no fun in what I do if she's not there, I wonder what went wrong, I've waited far too long, I think I'll take a walk and look for her. Though tonight she's made me sad, I still love her, If I find her I'll be glad, I still love her. I don't want to spoil the party so I'll go, I would hate my disappointment to show, There's nothing for me here so I will disappear, If she turns up while I'm gone please let me know. Though tonight she's made me sad, I still love her, If I find her I'll be glad, I still love her. I've had a drink or two and I don't care, There's no fun in what I do if she's not there, I wonder what went wrong I've waited far too long, I think I'll take a walk and look for her.","Beatles for Sale","1964","Lennon","Lennon/McCartney",0,1,0,0,0,1,1,0,10,10,56,0
"I Feel Fine","Baby's good to me, you know, She's happy as can be, you know, She said so. I'm in love with her and I feel fine. Baby says she's mine, you know, She tells me all the time, you know, She said so. I'm in love with her and I feel fine. I'm so glad that she's my little girl. She's so glad, she's telling all the world That her baby buys her things, you know. He buys her diamond rings, you know, She said so. She's in love with me and I feel fine, mmm. Baby says she's mine, you know, She tells me all the time, you know, She said so. I'm in love with her and I feel fine. I'm so glad that she's my little girl. She's so glad, she's telling all the world That her baby buys her things, you know. He buys her diamond rings, you know, She said so. She's in love with me and I feel fine She's in love with me and I feel fine, mmm.",NA,"1964","Lennon","Lennon",0,1,0,0,0,1,0,0,0,18,55,18
"I Me Mine","All through the day I me mine, I me mine, I me mine. All through the night I me mine, I me mine, I me mine. Now they're frightened of leaving it Everyone's weaving it, Coming on strong all the time, All through the day I me mine. I-me-me mine, I-me-me mine, I-me-me mine, I-me-me mine. All I can hear I me mine, I me mine, I me mine. Even those tears I me mine, I me mine, I me mine. No one's frightened of playing it Everyone's saying it, Flowing more freely than wine, All through the day I me mine. I-me-me mine, I-me-me mine, I-me-me mine, I-me-me mine. All I can hear I me mine, I me mine, I me mine. Even those tears I me mine, I me mine, I me mine. No-one's frightened of playing it Everyone's saying it, Flowing more freely than wine, All through your life I me mine.","Let It Be","1970","Harrison","Harrison",1,0,0,0,1,0,0,0,0,1,65,1
"I Need You","You don't realize how much I need you, Love you all the time and never leave you. Please come on back to me, I'm lonely as can be, I need you. Said you had a thing or two to tell me. How was I to know you would upset me? I didn't realize, As I looked in your eyes, You told me Oh yes you told me, you don't want my loving anymore. That's when it hurt me, and feeling like this I just can't go on anymore. Please remember how I feel about you, I could never really live without you. So come on back and see, Just what you mean to me, I need you.","Help!","1965","Harrison","Harrison",1,0,0,0,1,0,0,0,3,3,40,0
"I Saw Her Standing There","Well, she was just seventeen You know what I mean And the way she looked was way beyond compare So how could I dance with another (Ooh) When I saw her standing there  Well she looked at me, and I, I could see That before too long I\'d fall in love with her She wouldn\'t dance with another (Whooh) When I saw her standing there  Well, my heart went ""boom"" When I crossed that room And I held her hand in mine  Whoah, we danced through the night And we held each other tight And before too long I fell in love with her Now I\'ll never dance with another (Whooh) When I saw her standing there  Well, my heart went ""boom"" When I crossed that room And I held her hand in mine  Whoah, we danced through the night And we held each other tight And before too long I fell in love with her Now I\'ll never dance with another (Whooh) Since I saw her standing there Oh since I saw her standing there Oh since I saw her standing there","Please Please Me","1963","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,3,9,70,6
"I Wanna Be Your Man","(Lennon/Mccartney) I wanna be your lover baby I wanna be your man I wanna be your lover baby I wanna be your man Love you like no other baby Like no other can Love you like no other baby Like no other can I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man Tell me that you love me baby Let me understand Tell me that you love me baby I wanna be your man I wanna be your lover baby I wanna be your man I wanna be your lover baby I wanna be your man I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man I wanna be your lover baby I wanna be your man I wanna be your lover baby I wanna be your man Love you like no other baby Like no other can Love you like no other baby Like no other can I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man","With the Beatles","1963","Lennon/McCartney","Starr",0,1,1,0,0,0,0,1,0,20,69,20
"I Want You (She's So Heavy)","I want you I want you so bad I want you I want you so bad It's driving me mad It's driving me mad  I want you I want you so bad, babe I want you I want you so bad It's driving me mad It's driving me mad  I want you I want you so bad, babe I want you I want you so bad It's driving me mad It's driving me mad  I want you I want you so bad I want you I want you so bad It's driving me mad It's driving me mad  She's so heavy Heavy, heavy, heavy  She's so heavy She's so heavy Heavy, heavy, heavy  I want you I want you so bad I want you I want you so bad It's driving me mad It's driving me mad  I want you You know I want you so bad, babe I want you You know I want you so bad It's driving me mad It's driving me mad Yeah  She's so","Abbey Road","1969","Lennon","Lennon",0,1,0,0,0,1,0,0,24,0,51,-24
"I Want to Hold Your Hand","Oh yeah, i'll tell you something, I think you'll understand. When i'll say that something I want to hold your hand, I want to hold your hand, I want to hold your hand. Oh please, say to me You'll let me be your man And please, say to me You'll let me hold your hand. Now let me hold your hand, I want to hold your hand. And when I touch you I feel happy inside. It's such a feeling that my love I can't hide, I can't hide, I can't hide. Yeah, you've got that something, I think you'll understand. When i'll say that something I want to hold your hand, I want to hold your hand, I want to hold your hand. And when I touch you I feel happy inside. It's such a feeling that my love I can't hide, I can't hide, I can't hide. Yeh, you've got that something, I think you'll understand. When i'll feel that something I want to hold your hand, I want to hold your hand, I want to hold your hand.",NA,"1963","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,0,4,78,4
"I Want to Tell You","I want to tell you My head is filled with things to say When you're here All those words, they seem to slip away When I get near you, The games begin to drag me down It's all right I'll make you maybe next time around But if I seem to act unkind It's only me, it's not my mind That is confusing things. I want to tell you I feel hung up but I don't know why, I don't mind I could wait forever, I've got time Sometimes I wish I knew you well, Then I could speak my mind and tell you Maybe you'd understand I want to tell you I feel hung up but I don't know why, I don't mind I could wait forever, I've got time, I've got time, I've got time","Revolver","1966","Harrison","Harrison",1,0,0,0,1,0,0,0,5,2,53,-3
"I Will","Who knows how long I've loved you You know I love you still Will I wait a lonely lifetime If you want me to, I will For if I ever saw you I didn't catch your name But it never really mattered I will always feel the same Love you forever and forever Love you with all my heart Love you whenever we're together Love you when we're apart And when at last I find you Your song will fill the air Sing it loud so I can hear you Make it easy to be near you For the things you do endear you to me Oh, you know I will I will Mm mm mm mm mm mm mm mm mm Da da da da da da da","The Beatles","1968","McCartney","McCartney",0,0,1,0,0,0,1,0,2,8,40,6
"I'll Be Back","You know if you break my heart I'll go But I'll be back again Cos I told you once before goodbye But I came back again I love you so I'm the one who wants you Yes, I'm the one Who wants you, oh ho, oh ho, oh You could find better things to do Than to break my heart again This time I will try to show that I'm Not trying to pretend I thought that you would realize That if I ran away from you That you would want me too But I got a big surprise Oh ho, oh ho, oh You could find better things to do Than to break my heart again This time I will try to show that I'm Not trying to pretend I wanna go but I hate to leave you, You know I hate to leave you , oh ho, oh ho, oh You, if you break my heart I'll go But I'll be back again","A Hard Day's Night","1964","Lennon","Lennon/McCartney",0,1,0,0,0,1,1,0,8,3,43,-5
"I'll Cry Instead","I've got every reason On earth to be mad Cause I just lost The only girl I had If I could get my way I'd get myself locked up today But I can't, so I'll cry instead I've got a chip on my shoulder That's bigger that my feet I can't talk to people that I meet If I could see you now I'd try to make you sad somehow But I can't, so I'll cry instead Don't want to cry When there's people there I get shy when they start to stare I'm gonna hide myself away But I'll come back again someday And when you do You'd better hide all the girls I'm gonna break their hearts All round the world Yes, I'm gonna break them in two And show you what Your loving man can do Until then, I'll cry instead Don't want to cry When there's people there I get shy when they start to stare I'm gonna hide myself away But I'll come back again someday And when you do You'd better hide all the girls Cause I'm gonna break their hearts All round the world Yes, I'm gonna break them in two And show you what Your loving man can do Until then, I'll cry instead","A Hard Day's Night","1964","Lennon","Lennon",0,1,0,0,0,1,0,0,13,4,78,-9
"I'll Follow the Sun","One day You'll look to see I've gone For tomorrow may rain So I'll follow the sun  Some day You'll know I was the one But tomorrow may rain So I'll follow the sun  And now the time has come And so my love I must go And though I lose a friend In the end you will know Oh one day You'll find that I have gone But tomorrow may rain So I'll follow the sun  Yet tomorrow may rain So I'll follow the sun  And now the time has come And so my love I must go And though I lose a friend In the end you will know Oh one day You'll find that I have gone But tomorrow may rain So I'll follow the sun","Beatles for Sale","1964","McCartney","Lennon/McCartney",0,0,1,0,0,1,1,0,2,2,60,0
"I'm Happy Just to Dance with You","Before this dance is through I think I'll love you too I'm so happy when you dance with me I don't want or need to hold your hand Well it's only try and understand Cause there's really nothing I would rather do Cause I'm happy just to dance with you I don't need to kiss or hold you tight I just want to dance with you all night In this world there's nothing I would rather do Cause I'm happy just to dance with you Just to dance with you Its everything I need Before this dance is through I think I'll love you too I'm so happy when you dance with me If somebody tries to take my place Lets pretend we just can't see his face In this world there's nothing I would rather do Cause I'm happy just to dance with you Just to dance with you Its everything I need Before this dance is through I discovered I'm in love with you Cause I'm happy just to dance with you","A Hard Day's Night","1964","Lennon/McCartney","Harrison",0,1,1,0,1,0,0,0,1,10,60,9
"I'm Looking Through You","I'm looking through you, where did you go? I thought I knew you, what did I know? You don't look different, but you have changed I'm looking through you, you're not the same Your lips are moving, I cannot hear Your voice is soothing, but the words aren't clear You don't sound different, I've learned the game I'm looking through you, you're not the same Why, tell me why, did you not treat me right? Love has a nasty habit of disappearing overnight You're thinking of me, the same old way You were above me, but not today The only difference is you're down there I'm looking through you, and you're nowhere Why, tell me why, did you not treat me right? Love has a nasty habit of disappearing overnight I'm looking through you, where did you go I thought I knew you, what did I know You don't look different, but you have changed I'm looking through you, you're not the same Yeah Oh baby I'm changed Ah I'm looking through you Yeah I'm looking through you","Rubber Soul","1965","McCartney","Lennon/McCartney",0,0,1,0,0,1,1,0,2,5,50,3
"I'm Only Sleeping","When I wake up early in the morning Lift my head, I'm still yawning When I'm in the middle of a dream Stay in bed, float up stream (Float up stream) Please, don't wake me, no, don't shake me Leave me where I am, I'm only sleeping Everybody seems to think I'm lazy I don't mind, I think they're crazzy Running everywhere at such a speed Till they find there's no need (There's no need) Please, don't spoil my day, I'm miles away And after all I'm only sleeping Keeping an eye on the world going by my window Taking my time Lying there and staring at the ceiling Waiting for a sleepy feeling... Please, don't spoil my day, I'm miles away And after all I'm only sleeping Ooh yeah Keeping an eye on the world going by my window Taking my time When I wake up early in the morning Lift my head, I'm still yawning When I'm in the middle of a dream Stay in bed, float up stream (Float up stream) Please, don't wake me, no, don't shake me Leave me where I am, I'm only sleeping","Revolver","1966","Lennon","Lennon",0,1,0,0,0,1,0,0,6,0,82,-6
"I'm So Tired","I'm so tired, I haven't slept a wink I'm so tired, my mind is on the blink I wonder should I get up and fix myself a drink No, no, no I'm so tired I don't know what to do I'm so tired my mind is set on you I wonder should I call you but I know what you'd do You'd say I'm putting you on But it's no joke, it's doing me harm You know I can't sleep, I can't stop my brain You know it's three weeks, I'm going insane You know I'd give you everything I've got For a little peace of mind I'm so tired, I'm feeling so upset Although I'm so tired I'll have another cigarette And curse Sir Walter Raleigh He was such a stupid get You'd say I'm putting you on But it's no joke, it's doing me harm You know I can't sleep, I can't stop my brain You know it's three weeks, I'm going insane You know I'd give you everything I've got For a little peace of mind I'd give you everything I've got For a little peace of mind I'd give you everything I've got For a little peace of mind [Monsieur, Monsieur, Monsieur, how about another one?]","The Beatles","1968","Lennon","Lennon",0,1,0,0,0,1,0,0,15,6,67,-9
"I'm a Loser","I'm a loser I'm a loser And I'm not what I appear to be Of all the love I have won or have lost There is one love I should never have crossed She was a girl in a million, my friend I should have known she would win in the end I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be Although I laugh and I act like a clown Beneath this mask I am wearing a frown My tears are falling like rain from the sky Is it for her or myself that I cry I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be What have I done to deserve such a fate I realize I have left it too late And so it's true, pride comes before a fall I'm telling you so that you won't lose all I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be","Beatles for Sale","1964","Lennon","Lennon",0,1,0,0,0,1,0,0,17,7,37,-10
